"Date","Price","Open","High","Low","Vol.","Change %"
"23-06-2024","0.8142","0.8048","0.8150","0.8030","22.55M","1.20%"
"22-06-2024","0.8045","0.8019","0.8104","0.7920","24.46M","0.33%"
"21-06-2024","0.8019","0.8013","0.8092","0.7845","70.72M","0.07%"
"20-06-2024","0.8013","0.8131","0.8475","0.8008","77.33M","-1.46%"
"19-06-2024","0.8132","0.7947","0.8344","0.7876","73.49M","2.33%"
"18-06-2024","0.7947","0.8581","0.8619","0.7380","173.23M","-7.39%"
"17-06-2024","0.8581","0.9243","0.9296","0.8446","86.32M","-7.20%"
"16-06-2024","0.9246","0.9221","0.9354","0.9009","29.66M","0.28%"
"15-06-2024","0.9220","0.9123","0.9382","0.9121","32.60M","1.06%"
"14-06-2024","0.9123","0.9367","0.9537","0.8809","81.30M","-2.60%"
"13-06-2024","0.9367","0.9729","0.9731","0.9229","67.72M","-3.72%"
"12-06-2024","0.9729","0.9377","0.9981","0.9137","81.27M","3.76%"
"11-06-2024","0.9377","0.9599","0.9635","0.9142","101.92M","-2.27%"
"10-06-2024","0.9595","0.9794","0.9825","0.9476","44.83M","-2.04%"
"09-06-2024","0.9794","0.9678","0.9872","0.9572","41.51M","1.19%"
"08-06-2024","0.9679","0.9991","1.0074","0.9526","67.69M","-3.12%"
"07-06-2024","0.9991","1.0882","1.1043","0.9099","134.71M","-8.19%"
"06-06-2024","1.0882","1.1238","1.1238","1.0742","45.97M","-3.09%"
"05-06-2024","1.1229","1.1075","1.1384","1.1014","55.14M","1.40%"
"04-06-2024","1.1074","1.1051","1.1157","1.0717","66.15M","0.21%"
"03-06-2024","1.1051","1.1126","1.1392","1.1010","49.51M","-0.67%"
"02-06-2024","1.1126","1.1335","1.1436","1.0939","44.18M","-1.85%"
"01-06-2024","1.1336","1.1195","1.1394","1.1151","25.22M","1.25%"
"31-05-2024","1.1195","1.1278","1.1650","1.1106","58.40M","-0.74%"
"30-05-2024","1.1278","1.1410","1.1569","1.1071","69.15M","-1.16%"
"29-05-2024","1.1410","1.2006","1.2096","1.1402","77.86M","-4.97%"
"28-05-2024","1.2007","1.2301","1.2301","1.1709","110.77M","-2.39%"
"27-05-2024","1.2301","1.1935","1.2748","1.1928","146.62M","3.05%"
"26-05-2024","1.1936","1.1913","1.2296","1.1779","135.03M","0.19%"
"25-05-2024","1.1913","1.1578","1.2095","1.1487","97.33M","2.89%"
"24-05-2024","1.1578","1.2034","1.2333","1.1255","123.58M","-3.78%"
"23-05-2024","1.2034","1.1420","1.2570","1.1377","334.34M","5.36%"
"22-05-2024","1.1421","1.2037","1.2110","1.1093","149.73M","-5.12%"
