"Date","Price","Open","High","Low","Vol.","Change %"
"23-06-2024","3,507.04","3,495.96","3,520.35","3,495.17","135.93K","0.32%"
"22-06-2024","3,495.87","3,518.03","3,520.80","3,476.08","158.47K","-0.63%"
"21-06-2024","3,518.03","3,512.95","3,543.69","3,447.50","392.71K","0.15%"
"20-06-2024","3,512.91","3,561.24","3,624.46","3,486.58","371.29K","-1.36%"
"19-06-2024","3,561.30","3,484.57","3,585.80","3,466.82","346.10K","2.20%"
"18-06-2024","3,484.55","3,511.52","3,515.87","3,373.14","480.08K","-0.77%"
"17-06-2024","3,511.52","3,625.11","3,636.99","3,470.65","356.79K","-3.13%"
"16-06-2024","3,625.11","3,568.74","3,650.11","3,541.46","156.55K","1.58%"
"15-06-2024","3,568.72","3,481.75","3,592.84","3,474.26","256.22K","2.50%"
"14-06-2024","3,481.84","3,470.16","3,530.94","3,368.09","339.90K","0.34%"
"13-06-2024","3,470.15","3,559.95","3,561.15","3,433.13","316.98K","-2.52%"
"12-06-2024","3,559.95","3,497.99","3,652.79","3,464.17","418.36K","1.77%"
"11-06-2024","3,498.00","3,667.85","3,672.92","3,433.20","477.11K","-4.63%"
"10-06-2024","3,667.85","3,706.32","3,711.90","3,650.33","165.29K","-1.04%"
"09-06-2024","3,706.32","3,681.59","3,719.02","3,668.45","108.79K","0.67%"
"08-06-2024","3,681.59","3,678.36","3,709.44","3,670.34","147.95K","0.09%"
"07-06-2024","3,678.37","3,812.95","3,840.88","3,608.44","384.78K","-3.53%"
"06-06-2024","3,812.95","3,865.15","3,878.28","3,765.23","251.82K","-1.35%"
"05-06-2024","3,865.14","3,810.35","3,885.15","3,778.13","288.18K","1.44%"
"04-06-2024","3,810.35","3,767.10","3,831.41","3,743.11","247.96K","1.15%"
"03-06-2024","3,767.10","3,782.06","3,849.47","3,759.07","262.39K","-0.40%"
"02-06-2024","3,782.08","3,815.95","3,838.34","3,753.62","219.62K","-0.89%"
"01-06-2024","3,815.95","3,762.63","3,832.35","3,753.32","143.81K","1.42%"
"31-05-2024","3,762.66","3,747.89","3,844.96","3,724.57","294.56K","0.40%"
"30-05-2024","3,747.55","3,767.22","3,824.94","3,703.74","293.81K","-0.58%"
"29-05-2024","3,769.57","3,845.56","3,886.44","3,745.72","353.25K","-1.98%"
"28-05-2024","3,845.56","3,894.33","3,929.21","3,775.08","436.24K","-1.25%"
"27-05-2024","3,894.33","3,825.99","3,976.00","3,824.33","393.85K","1.79%"
"26-05-2024","3,826.02","3,749.28","3,881.62","3,733.77","313.07K","2.05%"
"25-05-2024","3,749.28","3,728.32","3,776.75","3,709.70","170.39K","0.57%"
"24-05-2024","3,728.21","3,785.61","3,829.13","3,635.18","514.00K","-1.52%"
"23-05-2024","3,785.65","3,739.07","3,941.42","3,645.49","1.19M","1.25%"
"22-05-2024","3,739.08","3,790.42","3,810.50","3,654.54","597.46K","-1.36%"
